#,Coin,Unnamed: 3,Price,1h,24h,7d,30d,24h Volume,Market Cap,FDV,Market Cap / FDV
,,,,,,,,,,,
1.0,Bitcoin  BTC,Buy,"$71,155.63",0.0%,0.4%,5.0%,11.4%,"$24,937,301,470","$1,402,301,988,404","$1,494,226,974,162",0.94
2.0,Ethereum  ETH,Buy,"$3,870.43",0.2%,1.7%,2.7%,25.2%,"$12,382,038,225","$465,228,993,812","$465,228,993,812",1.0
3.0,Tether  USDT,Buy,$1.00000,0.0%,0.0%,0.1%,0.0%,"$40,246,100,704","$112,367,731,772","$112,367,731,772",1.0
4.0,BNB  BNB,Buy,$698.13,0.4%,0.1%,17.0%,17.7%,"$1,567,706,327","$107,438,379,039","$107,438,379,039",1.0
5.0,Solana  SOL,Buy,$173.94,0.1%,0.3%,3.2%,10.5%,"$1,933,445,693","$80,055,806,220","$100,533,857,242",0.8
6.0,Lido Staked Ether  STETH,Buy,"$3,869.26",0.3%,1.7%,2.7%,25.1%,"$77,785,104","$36,844,806,909","$36,844,806,909",1.0
7.0,USDC  USDC,Buy,$1.00000,0.0%,0.0%,0.1%,0.0%,"$5,336,943,891","$32,626,408,968","$32,626,568,541",1.0
8.0,XRP  XRP,Buy,$0.5268,0.3%,0.3%,0.5%,2.9%,"$888,103,185","$29,218,654,433","$52,686,806,643",0.55
9.0,Dogecoin  DOGE,Buy,$0.1630,0.0%,0.0%,0.6%,2.9%,"$679,499,608","$23,585,384,279","$23,588,576,915",1.0
10.0,Toncoin  TON,Buy,$7.13,0.6%,5.3%,9.3%,22.2%,"$540,684,547","$17,226,382,868","$36,429,581,338",0.47
11.0,Cardano  ADA,Buy,$0.4609,0.0%,0.2%,1.9%,1.2%,"$259,790,431","$16,321,478,460","$20,751,432,429",0.79
12.0,Shiba Inu  SHIB,Buy,$0.00002588,0.1%,3.1%,7.2%,6.9%,"$756,927,117","$15,245,198,605","$25,871,184,972",0.59
13.0,Avalanche  AVAX,Buy,$36.50,0.2%,0.7%,1.0%,2.4%,"$317,042,320","$14,366,906,343","$16,169,760,188",0.89
14.0,Wrapped Bitcoin  WBTC,Buy,"$71,312.13",0.1%,0.6%,5.1%,11.9%,"$327,548,527","$10,902,150,591","$10,902,150,591",1.0
15.0,Chainlink  LINK,Buy,$17.70,0.1%,0.4%,5.8%,21.4%,"$370,287,167","$10,407,478,752","$17,726,927,713",0.59
16.0,TRON  TRX,Buy,$0.1141,0.5%,0.4%,1.9%,4.0%,"$265,682,544","$9,967,787,466","$9,967,793,881",1.0
17.0,Polkadot  DOT,Buy,$7.25,0.1%,0.7%,0.8%,0.9%,"$157,773,484","$9,952,180,840","$10,539,117,523",0.94
18.0,Bitcoin Cash  BCH,Buy,$500.17,0.2%,4.5%,7.2%,4.3%,"$229,028,518","$9,870,523,599","$10,513,592,545",0.94
19.0,Uniswap  UNI,Buy,$11.17,0.4%,1.7%,5.6%,47.3%,"$332,261,376","$8,432,294,669","$11,186,876,574",0.75
20.0,NEAR Protocol  NEAR,Buy,$7.62,0.0%,1.7%,0.7%,1.8%,"$230,649,677","$8,254,102,207","$9,020,413,843",0.92
21.0,Polygon  MATIC,Buy,$0.7249,0.2%,1.4%,0.8%,1.6%,"$233,852,831","$6,732,316,158","$7,252,350,626",0.93
22.0,Litecoin  LTC,Buy,$84.95,0.0%,1.6%,1.5%,4.4%,"$267,929,856","$6,335,621,922","$7,132,915,601",0.89
23.0,Pepe  PEPE,Buy,$0.00001481,2.1%,1.3%,0.5%,71.9%,"$945,896,069","$6,264,104,300","$6,264,104,300",1.0
24.0,Internet Computer  ICP,Buy,$12.28,0.3%,0.7%,1.7%,4.9%,"$62,786,496","$5,701,952,774","$6,372,551,897",0.89
25.0,Wrapped eETH  WEETH,,"$4,020.18",0.1%,1.6%,2.6%,25.6%,"$8,592,069","$5,611,446,527","$5,611,446,527",1.0
26.0,LEO Token  LEO,,$6.01,0.0%,1.0%,1.5%,4.2%,"$1,972,733","$5,570,232,129","$5,924,866,279",0.94
27.0,Fetch.ai  FET,,$2.16,0.2%,1.0%,2.6%,10.6%,"$193,550,303","$5,438,105,664","$5,674,384,414",0.96
28.0,Dai  DAI,Buy,$0.9997,0.1%,0.0%,0.1%,0.0%,"$291,034,272","$5,313,415,076","$5,313,415,076",1.0
29.0,Ethereum Classic  ETC,Buy,$29.75,0.1%,0.5%,2.2%,8.7%,"$134,062,583","$4,385,187,451","$6,268,368,753",0.7
30.0,Kaspa  KAS,Buy,$0.1809,0.1%,1.4%,29.7%,62.7%,"$125,757,392","$4,306,136,704","$4,308,841,785",1.0
31.0,Render  RNDR,Buy,$10.86,0.6%,5.3%,3.9%,6.3%,"$176,603,549","$4,217,638,449","$5,774,124,123",0.73
32.0,Aptos  APT,Buy,$9.26,0.2%,0.3%,1.1%,2.0%,"$876,242,189","$4,051,036,584","$10,178,732,020",0.4
33.0,Renzo Restaked ETH  EZETH,,"$3,817.06",0.3%,1.7%,2.4%,25.2%,"$17,779,299","$3,804,781,895","$3,816,383,910",1.0
34.0,Hedera  HBAR,Buy,$0.1048,0.1%,2.7%,0.6%,9.1%,"$57,633,788","$3,746,180,915","$5,239,416,583",0.71
35.0,Stacks  STX,Buy,$2.42,1.4%,10.0%,24.3%,8.3%,"$268,605,815","$3,558,509,579","$4,422,418,817",0.8
36.0,dogwifhat  WIF,Buy,$3.43,1.1%,2.9%,8.0%,3.0%,"$484,989,964","$3,426,231,935","$3,426,231,935",1.0
37.0,Mantle  MNT,Buy,$1.05,0.4%,8.6%,4.1%,0.3%,"$105,432,299","$3,422,075,923","$6,519,636,792",0.52
38.0,Cosmos Hub  ATOM,Buy,$8.68,0.1%,1.5%,0.3%,6.9%,"$100,893,158","$3,386,724,531","$3,388,819,433",1.0
39.0,Immutable  IMX,Buy,$2.28,0.1%,1.5%,2.1%,4.4%,"$47,236,266","$3,379,771,298","$4,560,032,033",0.74
40.0,Filecoin  FIL,,$6.03,0.3%,1.1%,3.5%,0.8%,"$153,514,202","$3,377,327,691","$11,819,682,171",0.29
41.0,Arbitrum  ARB,Buy,$1.12,0.1%,0.5%,2.3%,4.7%,"$208,780,101","$3,250,292,646","$11,221,679,984",0.29
42.0,Cronos  CRO,Buy,$0.1183,0.6%,5.2%,1.3%,9.4%,"$18,660,470","$3,166,559,094","$3,546,358,414",0.89
43.0,Ethena USDe  USDE,,$1.00,0.1%,0.0%,0.1%,0.3%,"$104,732,733","$3,155,385,448","$3,155,385,448",1.0
44.0,Stellar  XLM,Buy,$0.1068,0.0%,0.7%,0.3%,3.1%,"$45,311,191","$3,102,443,336","$5,341,707,054",0.58
45.0,FLOKI  FLOKI,Buy,$0.0003112,2.5%,7.3%,11.7%,69.6%,"$936,511,391","$3,037,158,661","$3,133,300,961",0.97
46.0,Monero  XMR,,$163.71,0.1%,2.1%,16.5%,25.4%,"$61,765,851","$3,020,738,422",-,
47.0,OKB  OKB,Buy,$48.89,0.2%,1.2%,7.0%,4.2%,"$8,335,669","$2,933,392,126","$11,535,940,267",0.25
48.0,The Graph  GRT,Buy,$0.3036,0.1%,1.6%,2.6%,4.8%,"$62,187,498","$2,889,052,675","$3,277,412,212",0.88
49.0,Bittensor  TAO,Buy,$417.77,0.0%,4.7%,3.7%,7.8%,"$40,183,988","$2,881,382,105","$8,782,595,144",0.33
50.0,Arweave  AR,,$43.74,0.1%,2.8%,10.1%,5.3%,"$100,548,920","$2,861,327,722","$2,861,327,722",1.0
51.0,First Digital USD  FDUSD,,$0.9990,0.1%,0.1%,0.0%,0.0%,"$6,319,683,399","$2,751,150,401","$2,751,150,401",1.0
52.0,Optimism  OP,Buy,$2.52,0.1%,1.3%,0.8%,10.0%,"$177,801,454","$2,740,650,278","$10,829,986,214",0.25
53.0,Sui  SUI,,$1.12,0.5%,6.3%,9.7%,0.7%,"$168,746,175","$2,713,453,848","$11,184,224,767",0.24
54.0,VeChain  VET,,$0.03562,0.0%,2.9%,0.8%,2.1%,"$61,535,531","$2,591,972,508","$3,065,011,947",0.85
55.0,Injective  INJ,Buy,$26.65,0.1%,4.6%,1.1%,4.5%,"$107,372,142","$2,510,256,095","$2,666,167,651",0.94
56.0,Maker  MKR,Buy,"$2,708.47",0.5%,1.4%,0.7%,4.1%,"$63,773,451","$2,509,876,504","$2,644,764,418",0.95
57.0,Fantom  FTM,Buy,$0.8316,0.2%,1.2%,3.1%,18.1%,"$147,570,554","$2,333,594,056","$2,642,698,341",0.88
58.0,Notcoin  NOT,,$0.02201,1.8%,1.7%,107.2%,-,"$1,920,295,688","$2,263,213,565","$2,263,213,565",1.0
59.0,Bonk  BONK,Buy,$0.00003389,0.5%,2.1%,8.0%,33.0%,"$528,873,242","$2,249,985,917","$3,174,159,941",0.71
60.0,Theta Network  THETA,Buy,$2.23,0.4%,2.3%,0.6%,1.9%,"$24,942,245","$2,226,138,533","$2,226,138,533",1.0
61.0,Rocket Pool ETH  RETH,,"$4,288.94",0.3%,1.7%,2.8%,25.4%,"$18,086,783","$2,169,263,047","$2,169,263,047",1.0
62.0,THORChain  RUNE,,$6.24,0.1%,0.3%,6.2%,13.6%,"$224,456,314","$2,092,835,443","$2,579,520,595",0.81
63.0,Lido DAO  LDO,,$2.28,0.8%,1.2%,3.1%,16.4%,"$104,049,018","$2,031,095,878","$2,276,192,980",0.89
64.0,Ondo  ONDO,,$1.39,0.1%,2.7%,17.4%,63.5%,"$205,629,930","$2,009,343,485","$13,917,388,664",0.14
65.0,Celestia  TIA,Buy,$10.50,0.3%,3.4%,4.1%,1.9%,"$115,819,586","$1,983,231,494","$11,004,893,851",0.18
66.0,JasmyCoin  JASMY,,$0.03878,1.0%,0.3%,51.6%,99.5%,"$206,273,867","$1,883,967,612","$1,945,443,631",0.97
67.0,Bitget Token  BGB,,$1.32,0.3%,1.3%,0.1%,14.0%,"$33,163,019","$1,845,689,213","$2,636,696,992",0.7
68.0,Mantle Staked Ether  METH,,"$3,981.45",0.1%,1.7%,2.4%,25.6%,"$14,203,916","$1,819,978,549","$1,819,978,549",1.0
69.0,Pyth Network  PYTH,,$0.4977,1.3%,8.9%,16.7%,8.5%,"$223,635,157","$1,806,047,013","$4,982,213,825",0.36
70.0,Starknet  STRK,,$1.33,0.3%,0.7%,8.5%,0.4%,"$159,867,370","$1,724,416,298","$13,261,559,558",0.13
71.0,Core  CORE,,$1.93,0.2%,4.0%,5.8%,2.1%,"$81,414,932","$1,721,510,980","$4,053,851,002",0.42
72.0,EOS  EOS,Buy,$0.8037,0.0%,0.7%,0.8%,1.7%,"$107,345,013","$1,655,553,630",-,
73.0,GALA  GALA,Buy,$0.04667,0.3%,1.1%,6.3%,1.2%,"$152,508,313","$1,653,663,043","$1,653,663,067",1.0
74.0,Ethena  ENA,,$0.9857,0.3%,3.1%,16.8%,7.7%,"$197,391,868","$1,587,981,189","$14,743,345,662",0.11
75.0,Jupiter  JUP,,$1.16,0.1%,0.2%,2.0%,0.0%,"$131,283,186","$1,569,428,680","$11,625,397,626",0.14
76.0,Sei  SEI,,$0.5305,0.3%,1.8%,2.8%,3.4%,"$45,848,738","$1,551,130,787","$5,303,011,238",0.29
77.0,Aave  AAVE,Buy,$103.97,0.3%,0.6%,0.7%,17.7%,"$84,819,222","$1,544,327,289","$1,664,428,712",0.93
78.0,Algorand  ALGO,Buy,$0.1873,0.1%,0.6%,2.0%,4.3%,"$32,669,000","$1,530,761,912","$1,530,761,943",1.0
79.0,WhiteBIT Coin  WBT,,$9.98,0.5%,0.7%,0.7%,0.2%,"$12,186,059","$1,438,118,189","$3,511,217,112",0.41
80.0,Flow  FLOW,Buy,$0.9314,0.1%,0.8%,1.9%,4.2%,"$22,156,493","$1,408,120,770","$1,408,120,770",1.0
81.0,Beam  BEAM,,$0.02763,0.2%,1.3%,0.0%,10.7%,"$21,037,676","$1,370,629,058","$1,729,953,075",0.79
82.0,Quant  QNT,Buy,$90.86,0.1%,0.2%,1.0%,8.1%,"$21,648,709","$1,322,251,311","$1,328,462,184",1.0
83.0,Chiliz  CHZ,Buy,$0.1457,0.0%,0.9%,10.0%,16.5%,"$92,116,707","$1,294,887,283","$1,294,887,283",1.0
84.0,Bitcoin SV  BSV,,$63.83,0.1%,1.2%,2.5%,1.6%,"$14,759,554","$1,258,356,359","$1,340,616,338",0.94
85.0,Axie Infinity  AXS,,$8.64,0.2%,4.8%,10.3%,16.8%,"$79,065,648","$1,255,450,845","$2,327,965,674",0.54
86.0,ORDI  ORDI,,$57.53,0.7%,5.8%,39.2%,46.2%,"$318,706,889","$1,213,688,857","$1,213,688,857",1.0
87.0,Brett  BRETT,,$0.1219,2.7%,5.8%,29.4%,221.3%,"$69,888,157","$1,211,045,300","$1,211,045,303",1.0
88.0,Cheelee  CHEEL,,$21.15,0.4%,1.3%,3.8%,36.3%,"$6,332,723","$1,199,861,263","$21,127,814,123",0.06
89.0,Gate  GT,,$8.98,0.5%,1.9%,11.3%,9.3%,"$6,939,367","$1,169,525,958","$2,691,467,719",0.43
90.0,Flare  FLR,Buy,$0.02861,0.0%,0.4%,2.2%,4.0%,"$9,056,050","$1,169,423,405","$2,918,908,993",0.4
91.0,SingularityNET  AGIX,,$0.9088,0.0%,0.7%,2.0%,9.2%,"$94,381,200","$1,167,284,341","$1,281,717,139",0.91
92.0,dYdX  DYDX,,$2.09,0.2%,0.5%,2.1%,4.8%,"$29,399,525","$1,166,447,192","$1,574,874,930",0.74
93.0,Kelp DAO Restaked ETH  RSETH,,"$3,906.85",0.2%,1.5%,3.2%,25.6%,"$5,606,077","$1,162,598,705","$1,162,598,705",1.0
94.0,BitTorrent  BTT,,$0.051182,0.0%,1.7%,1.4%,4.2%,"$29,743,557","$1,145,925,951","$1,171,671,445",0.98
95.0,Wormhole  W,,$0.6370,0.3%,0.6%,8.9%,3.3%,"$109,248,036","$1,144,252,601","$6,356,958,896",0.18
96.0,Zebec Protocol  ZBC,,$0.02246,0.3%,4.1%,9.3%,6.1%,"$11,430.32","$1,143,560,032","$2,247,131,579",0.51
97.0,Worldcoin  WLD,,$4.92,0.1%,2.2%,0.9%,21.1%,"$266,337,187","$1,138,311,968","$49,155,747,519",0.02
98.0,Akash Network  AKT,,$4.67,0.7%,4.0%,11.3%,0.7%,"$10,936,048","$1,094,770,885","$1,119,562,098",0.98
99.0,MultiversX  EGLD,,$40.08,0.1%,1.6%,0.7%,0.3%,"$21,647,664","$1,082,489,894","$1,082,696,239",1.0
100.0,NEO  NEO,Buy,$15.24,0.3%,1.3%,2.0%,5.6%,"$22,497,589","$1,075,661,599","$1,525,112,150",0.71
,,,,,,,,,,,
101.0,Tokenize Xchange  TKX,,$13.41,0.0%,6.6%,1.0%,10.6%,"$15,753,042","$1,073,111,575","$1,341,456,542",0.8
102.0,The Sandbox  SAND,Buy,$0.4697,0.0%,1.1%,5.2%,5.6%,"$68,861,269","$1,064,019,069","$1,408,841,518",0.76
103.0,Ronin  RON,,$3.18,0.3%,2.7%,3.6%,12.5%,"$30,437,125","$1,035,000,691","$3,172,428,239",0.33
104.0,KuCoin  KCS,,$10.20,0.2%,1.1%,0.0%,4.1%,"$50,602.58","$976,515,344","$1,461,490,696",0.67
105.0,Mina Protocol  MINA,,$0.8727,0.3%,1.9%,2.5%,5.9%,"$23,500,370","$973,762,634","$1,017,394,720",0.96
106.0,Pendle  PENDLE,,$6.29,1.2%,3.4%,0.2%,23.4%,"$55,761,538","$968,325,283","$1,621,964,285",0.6
107.0,Marinade Staked SOL  MSOL,,$207.39,0.0%,0.3%,3.5%,12.8%,"$18,182,028","$948,950,431","$948,950,431",1.0
108.0,Tezos  XTZ,Buy,$0.9522,0.3%,0.1%,0.2%,1.0%,"$26,843,855","$937,826,133","$957,415,929",0.98
109.0,BOOK OF MEME  BOME,,$0.01358,1.8%,0.8%,4.0%,12.2%,"$167,260,801","$935,136,305","$935,136,305",1.0
110.0,eCash  XEC,,$0.00004739,0.1%,0.7%,0.8%,6.0%,"$6,384,243","$934,316,467","$995,384,728",0.94
111.0,DOG•GO•TO•THE•MOON (Runes)  DOG,,$0.009209,0.4%,2.8%,24.3%,302.3%,"$70,155,441","$924,761,043","$924,761,043",1.0
112.0,Synthetix Network  SNX,Buy,$2.80,0.0%,1.8%,3.2%,0.4%,"$23,595,721","$916,623,984","$917,809,465",1.0
113.0,Conflux  CFX,,$0.2236,0.3%,1.9%,1.1%,1.9%,"$39,259,545","$904,295,203","$1,230,558,993",0.73
114.0,Gnosis  GNO,,$339.79,0.3%,2.1%,0.1%,7.7%,"$3,642,839","$879,861,812","$1,019,306,707",0.86
115.0,Decentraland  MANA,Buy,$0.4709,0.1%,0.5%,3.0%,6.4%,"$44,998,228","$877,835,242","$1,032,800,082",0.85
116.0,PancakeSwap  CAKE,,$3.20,0.6%,3.0%,9.5%,19.2%,"$170,568,642","$851,528,796","$1,227,493,036",0.69
117.0,ApeCoin  APE,Buy,$1.36,0.3%,2.6%,3.8%,7.0%,"$48,129,495","$851,523,341","$1,356,272,471",0.63
118.0,Aevo  AEVO,,$0.9967,0.7%,4.1%,10.8%,30.5%,"$104,531,176","$844,893,685","$993,992,571",0.85
119.0,Safe  SAFE,,$1.96,1.1%,0.8%,12.6%,14.1%,"$20,998,333","$838,686,058","$1,964,135,966",0.43
120.0,NEXO  NEXO,,$1.48,0.1%,1.4%,2.0%,14.6%,"$6,019,618","$831,242,434","$1,484,361,467",0.56
121.0,ether.fi Staked ETH  EETH,,"$3,853.64",0.1%,1.1%,2.4%,25.0%,"$127,765","$831,022,268","$6,419,896,357",0.13
122.0,AIOZ Network  AIOZ,,$0.7435,0.3%,2.2%,0.7%,0.1%,"$6,101,159","$812,363,465","$817,322,436",0.99
123.0,Ethereum Name Service  ENS,,$25.43,0.2%,1.9%,1.1%,69.9%,"$105,405,802","$801,978,032","$2,544,188,843",0.32
124.0,Nervos Network  CKB,,$0.01800,0.7%,3.5%,12.4%,2.8%,"$80,991,041","$798,357,761","$810,580,669",0.98
125.0,Oasis Network  ROSE,,$0.1184,0.4%,3.4%,26.1%,20.8%,"$23,906,068","$797,602,816","$1,185,181,286",0.67
126.0,Klaytn  KLAY,,$0.2135,0.1%,1.0%,8.0%,17.9%,"$9,113,695","$787,770,062","$1,271,137,877",0.62
127.0,DeXe  DEXE,,$13.75,0.3%,1.6%,8.9%,3.3%,"$7,403,848","$785,350,750","$1,327,248,123",0.59
128.0,Lido Staked SOL  STSOL,,$199.04,0.2%,2.5%,0.2%,8.9%,"$391,854","$775,957,281","$775,956,308",1.0
129.0,IOTA  IOTA,Buy,$0.2352,0.6%,1.9%,4.8%,2.1%,"$18,106,891","$772,991,343","$1,081,791,412",0.71
130.0,MANTRA  OM,,$0.9351,0.2%,0.7%,39.7%,20.7%,"$35,689,098","$770,600,944","$829,650,163",0.93
131.0,Frax Ether  FRXETH,,"$3,853.16",0.1%,1.3%,2.5%,25.5%,"$900,210","$762,394,446","$762,394,446",1.0
132.0,Kava  KAVA,Buy,$0.6965,0.2%,2.2%,3.3%,2.5%,"$13,870,364","$753,626,132","$753,626,132",1.0
133.0,Echelon Prime  PRIME,,$18.12,0.8%,7.4%,4.3%,3.8%,"$16,596,295","$742,638,915","$2,014,772,299",0.37
134.0,USDD  USDD,,$1.00,0.0%,0.1%,0.4%,0.6%,"$4,331,827","$732,646,093",-,
135.0,Livepeer  LPT,,$22.46,2.8%,6.4%,6.7%,42.5%,"$21,661,843","$730,176,823","$730,176,823",1.0
136.0,SATS (Ordinals)  SATS,,$0.063361,0.9%,3.5%,7.9%,20.8%,"$32,706,584","$705,791,478","$705,791,478",1.0
137.0,Axelar  AXL,,$1.03,1.1%,2.4%,2.7%,16.7%,"$15,860,341","$701,213,992","$1,185,702,915",0.59
138.0,Fasttoken  FTN,,$2.22,0.0%,0.1%,0.2%,13.5%,"$19,005,054","$700,052,596","$1,949,328,807",0.36
139.0,Terra Luna Classic  LUNC,,$0.0001206,0.1%,1.5%,5.8%,11.2%,"$26,262,066","$699,035,360","$819,377,241",0.85
140.0,Blur  BLUR,,$0.4172,0.0%,2.1%,0.7%,5.2%,"$35,948,717","$689,461,758","$1,251,675,653",0.55
141.0,Swell Ethereum  SWETH,,"$4,088.12",0.1%,1.7%,2.5%,25.8%,"$951,074","$688,266,310","$688,274,966",1.0
142.0,Coinbase Wrapped Staked ETH  CBETH,,"$4,145.92",0.2%,1.7%,2.8%,25.7%,"$10,791,017","$687,576,316","$6,033,133,579",0.11
143.0,Helium  HNT,,$4.04,0.6%,1.7%,1.3%,26.0%,"$16,291,639","$669,843,576","$900,943,223",0.74
144.0,Mog Coin  MOG,,$0.051660,10.9%,17.0%,18.9%,203.7%,"$39,578,002","$649,845,387","$649,845,387",1.0
145.0,Frax  FRAX,Buy,$0.9981,0.0%,0.1%,0.0%,0.0%,"$20,541,348","$647,846,236","$647,846,236",1.0
146.0,WOO  WOO,,$0.3416,0.2%,4.6%,0.8%,12.6%,"$22,581,675","$643,859,217","$761,797,869",0.85
